symbol, action, date, unit_cost, quantity, platform, new
LULU, buy, 09/05/2025, 168, 120, ml, n
PPC, buy, 09/10/2025, 42, 100, ml, n
MRK, buy, 09/12/2025, 83.5, 120, ml, n
SPY, buy, 09/17/2025, 656, 15, ml, n
ALSN, buy, 09/23/2025, 87, 115, ml, n
URTH, buy, 09/24/2025, 180, 60, ml, n
SPY, buy, 09/24/2025, 662, 15, schwab, n
URTH, buy, 09/24/2025, 180, 55, schwab, n
PPC, buy, 09/30/2025, 40.1, 100, schwab, n
OGN, buy, 09/30/2025, 10.3, 500, schwab, n
MATX, buy, 09/30/2025, 97.5, 50, schwab, n
URTH, buy, 10/01/2025, 182, 28, schwab, n
ANF, buy, 10/01/2025, 85.76, 59, schwab, n
ANF, buy, 10/01/2025, 85.25, 1, schwab, n
OMC, buy, 10/02/2025, 77, 65, schwab, n
SPY, buy, 10/02/2025, 668, 6, schwab, n
QCOM, buy, 10/06/2025, 168.5, 30, schwab, n
VGT, buy, 10/06/2025, 764, 10, schwab, n
DECK, buy, 10/06/2025, 103, 50, schwab, n
URTH, buy, 10/06/2025, 183.6, 50, schwab, n
VGT, buy, 10/06/2025, 763, 15, schwab, n
SPY, buy, 10/06/2025, 671, 30, schwab, n
VGT, buy, 10/07/2025, 756, 15, schwab, n
SPY, buy, 10/07/2025, 670, 25, schwab, n
ITRN, buy, 10/07/2025, 36, 35, schwab, n
ANF, buy, 10/09/2025, 76.25, 65, schwab, n
URTH, buy, 10/09/2025, 183, 150, schwab, n
PPC, buy, 10/09/2025, 37.9, 150, schwab, n
QCOM, buy, 10/10/2025, 154.9, 15, schwab, n
MATX, buy, 10/10/2025, 88.6, 50, schwab, n
URTH, buy, 10/10/2025, 179.3, 120, schwab, n
